,Year,MM/DD,Day,GWZ1,GWZ2,GWZ3,GWZ4,GWZ5,GWZ6,Zz,Sz,Spieleinsatz,I,6T_Zz,II,6T,III,5T_Zz,IV,5T,V,4T_Zz,VI,4T,VII,3T_Zz,VIII,3T,IX,2T_Zz,Total_payout,Date,gwzx_sum
26,1990,07/07/,SA,43,20,48,42,10,4,33,0,50586750.0,0,0.0,1,3794006.2,1,3794006.2,1274,4467.0386,0,0.0,81279,69.9956,0,0.0,1570659,5.215158,0,0.0,27159426.66698122,1990-07-07,167
27,1990,14/07/,SA,37,34,18,2,10,22,32,0,50651596.0,0,0.0,9,422096.6,9,422096.6,1977,2882.2952,0,0.0,107131,53.17416,0,0.0,1637310,5.010642,0,0.0,27196611.503728867,1990-07-14,123
28,1990,21/07/,SA,20,27,34,43,24,47,41,0,49542828.0,0,0.0,7,530816.0,7,530816.0,1176,4739.403,0,0.0,69430,80.27253,0,0.0,1378932,5.828706,0,0.0,26615672.38992691,1990-07-21,195
29,1990,28/07/,SA,37,49,28,3,24,23,45,0,49421268.0,0,0.0,5,741319.0,5,741319.0,1187,4683.9785,0,0.0,78836,70.50689,0,0.0,1651434,4.857255,0,0.0,26552989.650247574,1990-07-28,164
30,1990,04/08/,SA,30,10,25,29,14,12,38,0,49855852.0,0,0.0,7,534169.8,7,534169.8,1957,2865.985,0,0.0,97603,57.41787,0,0.0,1716717,4.703868,0,0.0,26766476.564444542,1990-08-04,120
31,1990,11/08/,SA,36,25,7,21,29,5,6,0,49315456.0,0,0.0,3,1232886.4,3,1232886.4,1894,2929.2317,0,0.0,105363,52.611744,0,0.0,1832058,4.345965,0,0.0,26450674.023724556,1990-08-11,123
32,1990,18/08/,SA,37,35,1,17,48,4,3,0,49341180.0,0,0.0,1,3700588.5,1,3700588.5,1409,3939.5408,0,0.0,79199,70.04673,0,0.0,1553087,5.1129003,0,0.0,26440399.841193676,1990-08-18,142
33,1990,25/08/,SA,16,17,33,40,41,35,36,0,49541444.0,0,0.0,7,530801.2,7,530801.2,1395,3995.2712,0,0.0,78495,70.96706,0,0.0,1645693,4.857255,0,0.0,26568729.61047077,1990-08-25,182
34,1990,01/09/,SA,20,11,34,39,24,9,1,0,56022212.0,0,0.0,73,57557.043,73,57557.043,5634,1118.6514,0,0.0,164109,38.39788,0,0.0,2315982,3.885804,0,0.0,30006699.831774235,1990-09-01,137
35,1990,08/09/,SA,29,19,35,22,9,7,18,0,51398530.0,0,0.0,11,350444.47,11,350444.47,3131,1846.7795,0,0.0,146328,39.47159,0,0.0,2236998,3.732417,0,0.0,27617253.206697464,1990-09-08,121
